date,precio_btc,usd_invertido,equity_usd
2021-07-01,33572.1171875,2000.0,1914.5199239353467
2021-07-02,33897.046875,2000.0,1933.0497162961472
2021-07-03,34668.546875,2000.0,1977.0461110741946
2021-07-04,35287.78125,2000.0,2012.359241369253
2021-07-05,33746.00390625,2000.0,1924.4361763329932
2021-07-06,34235.1953125,2000.0,1952.3333354145268
2021-07-07,33855.328125,2000.0,1930.6706176640712
2021-07-08,32877.37109375,2000.0,1874.900580563822
2021-07-09,33798.01171875,2000.0,1927.402030189497
2021-07-10,33520.51953125,2000.0,1911.5774600934842
2021-07-11,34240.1875,2000.0,1952.6180253070168
2021-07-12,33155.84765625,2000.0,1890.7812866949737
2021-07-13,32702.025390625,2000.0,1864.9011265426661
2021-07-14,32822.34765625,2000.0,1871.7627544091945
2021-07-15,31780.73046875,4000.0,3746.630100963682
2021-07-16,31421.5390625,4000.0,3704.285028499504
2021-07-17,31533.068359375,4000.0,3717.433216557109
2021-07-18,31796.810546875,4000.0,3748.525781265562
2021-07-19,30817.83203125,4000.0,3633.114010650535
2021-07-20,29807.34765625,4000.0,3513.9880144859358
2021-07-21,32110.693359375,4000.0,3785.52942391764
2021-07-22,32313.10546875,4000.0,3809.391786128906
2021-07-23,33581.55078125,4000.0,3958.9287954783863
2021-07-24,34292.4453125,4000.0,4042.7361469806024
2021-07-25,35350.1875,4000.0,4167.433366342613
2021-07-26,37337.53515625,4000.0,4401.721768156014
2021-07-27,39406.94140625,4000.0,4645.6840570340555
2021-07-28,39995.90625,4000.0,4715.117118497917
2021-07-29,40008.421875,4000.0,4716.592585444892
2021-07-30,42235.546875,4000.0,4979.148336698427
2021-07-31,41626.1953125,4000.0,4907.311885098403
2021-08-01,39974.89453125,6000.0,6639.032084746347
2021-08-02,39201.9453125,6000.0,6510.660647539696
2021-08-03,38152.98046875,6000.0,6336.448524278606
2021-08-04,39747.50390625,6000.0,6601.267040639343
2021-08-05,40869.5546875,6000.0,6787.617279327527
2021-08-06,42816.5,6000.0,7110.9660348027755
2021-08-07,44555.80078125,6000.0,7399.829178211851
2021-08-08,43798.1171875,6000.0,7273.993056616589
2021-08-09,46365.40234375,6000.0,7700.367878186476
2021-08-10,45585.03125,6000.0,7570.763815682579
2021-08-11,45593.63671875,6000.0,7572.193012277228
2021-08-12,44428.2890625,6000.0,7378.652026855001
2021-08-13,47793.3203125,6000.0,7937.516551624656
2021-08-14,47096.9453125,6000.0,7821.862563734806
2021-08-15,47047.00390625,8000.0,9809.461375422226
2021-08-16,46004.484375,8000.0,9592.092484189567
2021-08-17,44695.359375,8000.0,9319.13544002392
2021-08-18,44801.1875,8000.0,9341.200966379
2021-08-19,46717.578125,8000.0,9740.77497227359
2021-08-20,49339.17578125,8000.0,10287.387058393391
2021-08-21,48905.4921875,8000.0,10196.962544421744
2021-08-22,49321.65234375,8000.0,10283.73336168481
2021-08-23,49546.1484375,8000.0,10330.541565772834
2021-08-24,47706.1171875,8000.0,9946.888750974844
2021-08-25,48960.7890625,8000.0,10208.492132162866
2021-08-26,46942.21875,8000.0,9787.613311622026
2021-08-27,49058.66796875,8000.0,10228.900219195171
2021-08-28,48902.40234375,8000.0,10196.31830142208
2021-08-29,48829.83203125,8000.0,10181.187142828227
2021-08-30,47054.984375,8000.0,9811.125330476982
2021-08-31,47166.6875,8000.0,9834.415814444566
2021-09-01,48847.02734375,10000.0,12256.891959327535
2021-09-02,49327.72265625,10000.0,12377.5099545477
2021-09-03,50025.375,10000.0,12552.567677965326
2021-09-04,49944.625,10000.0,12532.305564188155
2021-09-05,51753.41015625,10000.0,12986.17318814354
2021-09-06,52633.53515625,10000.0,13207.017682114236
2021-09-07,46811.12890625,10000.0,11746.03616020194
2021-09-08,46091.390625,10000.0,11565.4365447905
2021-09-09,46391.421875,10000.0,11640.721589053128
2021-09-10,44883.91015625,10000.0,11262.450704028573
2021-09-11,45201.45703125,10000.0,11342.130839147278
2021-09-12,46063.26953125,10000.0,11558.380287191725
2021-09-13,44963.07421875,10000.0,11282.31486800923
2021-09-14,47092.4921875,10000.0,11816.636962894274
2021-09-15,48176.34765625,12000.0,14132.348185151348
2021-09-16,47783.359375,12000.0,14017.066568891492
2021-09-17,47267.51953125,12000.0,13865.746914448919
2021-09-18,48278.36328125,12000.0,14162.274080387591
2021-09-19,47260.21875,12000.0,13863.605258062162
2021-09-20,42843.80078125,12000.0,12568.065859540806
2021-09-21,40693.67578125,12000.0,11937.334875979903
2021-09-22,43574.5078125,12000.0,12782.415985470776
2021-09-23,44895.09765625,12000.0,13169.80598885615
2021-09-24,42839.75,12000.0,12566.877578281807
2021-09-25,42716.59375,12000.0,12530.75016118086
2021-09-26,43208.5390625,12000.0,12675.060445843985
2021-09-27,42235.73046875,12000.0,12389.690748197367
2021-09-28,41034.54296875,12000.0,12037.326967805035
2021-09-29,41564.36328125,12000.0,12192.747739533967
2021-09-30,43790.89453125,12000.0,12845.892205665743
2021-10-01,48116.94140625,14000.0,16309.006408645575
2021-10-02,47711.48828125,14000.0,16171.58001742505
2021-10-03,48199.953125,14000.0,16337.1428323982
2021-10-04,49112.90234375,14000.0,16646.58258946114
2021-10-05,51514.8125,14000.0,17460.69851176255
2021-10-06,55361.44921875,14000.0,18764.497570147345
2021-10-07,53805.984375,14000.0,18237.28022499318
2021-10-08,53967.84765625,14000.0,18292.143007499297
2021-10-09,54968.22265625,14000.0,18631.215313619105
2021-10-10,54771.578125,14000.0,18564.56359331743
2021-10-11,57484.7890625,14000.0,19484.193421699398
2021-10-12,56041.05859375,14000.0,18994.847906812985
