planned_date,execution_date,monto_usd,comision_usd,precio_btc,btc_comprado,usd_acumulado,btc_acumulado,equity_usd,drawdown_pct
2021-07-01,2021-07-01,2000.0,2.0,35035.984375,0.05702708331568035,2000.0,0.05702708331568035,1998.0,-0.1
2021-07-15,2021-07-15,2000.0,2.0,32827.875,0.060862909950765924,4000.0,0.11788999326644628,3870.07796270174,-3.2480509324564992
2021-08-01,2021-08-01,2000.0,2.0,41460.84375,0.04819004678359928,6000.0,0.16608004005004556,6885.818590508681,14.763643175144686
2021-08-15,2021-08-15,2000.0,2.0,47096.66796875,0.042423383355394285,8000.0,0.20850342340543984,9819.816502473697,22.747706280921214
2021-09-01,2021-09-01,2000.0,2.0,47099.7734375,0.04242058621898228,10000.0,0.25092400962442213,11818.464003339352,18.184640033393514
2021-09-15,2021-09-15,2000.0,2.0,47098.0,0.04242218353220944,12000.0,0.2933461931566316,13816.019005291035,15.133491710758623
2021-10-01,2021-10-01,2000.0,2.0,43816.7421875,0.04559900851254951,14000.0,0.3389452016691811,14851.474517228702,6.081960837347872
2021-10-15,2021-10-15,2000.0,2.0,57345.90234375,0.03484119908033425,16000.0,0.3737864007495153,21435.118434803506,33.969490217521916
2021-11-01,2021-11-01,2000.0,2.0,61320.44921875,0.03258293155799436,18000.0,0.40636933230750966,24918.75000581999,38.43750003233328
2021-11-15,2021-11-15,2000.0,2.0,65521.2890625,0.03049390554715935,20000.0,0.436863237854669,28623.84248825546,43.119212441277305
2021-12-01,2021-12-01,2000.0,2.0,56907.96484375,0.035109320909398736,22000.0,0.47197255876406774,26858.997781360296,22.08635355163771
2021-12-15,2021-12-15,2000.0,2.0,48379.75390625,0.04129826711958297,24000.0,0.5132708258836507,24831.916243508713,3.466317681286303
2022-01-01,2022-01-01,2000.0,2.0,46311.74609375,0.043142402706116925,26000.0,0.5564132285897676,25768.468165652997,-0.8905070551807791
2022-01-15,2022-01-15,2000.0,2.0,43101.8984375,0.046355266761560494,28000.0,0.6027684953513281,25980.466467957638,-7.21261975729415
2022-02-01,2022-02-01,2000.0,2.0,38481.765625,0.05192069458221487,30000.0,0.654689189933543,25193.59596424371,-16.021346785854305
2022-02-15,2022-02-15,2000.0,2.0,42586.46484375,0.04691631501536167,32000.0,0.7016055049489046,29878.898170687993,-6.628443216600022
2022-03-01,2022-03-01,2000.0,2.0,43194.50390625,0.046255884876846586,34000.0,0.7478613898257512,32303.501724161964,-4.9897008112883405
2022-03-15,2022-03-15,2000.0,2.0,39664.25,0.050372816831277534,36000.0,0.7982342066570287,31661.36113139605,-12.051774635010974
2022-04-01,2022-04-01,2000.0,2.0,45554.1640625,0.04385987628394976,38000.0,0.8420940829409784,38360.89201035381,0.9497158167205558
2022-04-15,2022-04-15,2000.0,2.0,39939.40234375,0.05002578613479581,40000.0,0.8921198690757742,35630.73438987092,-10.923164025322695
2022-05-01,2022-05-01,2000.0,2.0,37713.265625,0.052978705685872304,42000.0,0.9450985747616465,35642.75359179489,-15.136300971916924
2022-05-15,2022-05-15,2000.0,2.0,30098.5859375,0.06638185608283612,44000.0,1.0114804308444827,30444.130671872186,-30.80879392756321
2022-06-01,2022-06-01,2000.0,2.0,31792.5546875,0.06284490251378136,46000.0,1.074325333358264,34155.54691295928,-25.74881105878417
2022-06-15,2022-06-15,2000.0,2.0,22196.73046875,0.09001325680883111,48000.0,1.1643385901670953,25844.509860303384,-46.15727112436795
2022-07-01,2022-07-01,2000.0,2.0,19820.470703125,0.10080487138405773,50000.0,1.265143461551153,25075.73891492478,-49.84852217015044
2022-07-15,2022-07-15,2000.0,2.0,20573.15625,0.09711684370257967,52000.0,1.3622603052537325,28025.994113157736,-46.10385747469666
2022-08-01,2022-08-01,2000.0,2.0,23336.71875,0.08561614944260319,54000.0,1.4478764546963356,33788.6856079955,-37.42835998519351
2022-08-15,2022-08-15,2000.0,2.0,24318.31640625,0.08216029295048148,56000.0,1.530036747646817,37207.91774246498,-33.55728974559825
2022-09-01,2022-09-01,2000.0,2.0,20050.498046875,0.09964839752753181,58000.0,1.6296851451743488,32675.998820339482,-43.66207099941469
2022-09-15,2022-09-15,2000.0,2.0,20242.2890625,0.09870425196631588,60000.0,1.7283893971406648,34986.55778948145,-41.689070350864256
2022-10-01,2022-10-01,2000.0,2.0,19431.10546875,0.10282482400259088,62000.0,1.8312142211432556,35582.51666690948,-42.60884408562987
2022-10-15,2022-10-15,2000.0,2.0,19185.4375,0.10414148752145996,64000.0,1.9353557086647155,37130.64598885511,-41.98336564241389
2022-11-01,2022-11-01,2000.0,2.0,20494.8984375,0.09748767509597472,66000.0,2.03284338376069,41662.91868951918,-36.87436562194063
2022-11-15,2022-11-15,2000.0,2.0,16617.484375,0.1202348053960484,68000.0,2.1530781891567385,35778.7431664654,-47.38420122578618
2022-12-01,2022-12-01,2000.0,2.0,17168.001953125,0.11637929710488615,70000.0,2.269457486261625,38962.05055667373,-44.339927776180396
2022-12-15,2022-12-15,2000.0,2.0,17813.64453125,0.1121612142026839,72000.0,2.381618700464309,42425.308939048766,-41.07595980687672
2023-01-01,2023-01-01,2000.0,2.0,16547.9140625,0.12074029345654876,74000.0,2.5023589939208577,41408.821584926314,-44.04213299334282
2023-01-15,2023-01-15,2000.0,2.0,20977.484375,0.09524497619843895,76000.0,2.597603970119297,54491.196695615516,-28.30105697945327
